time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
4.595,0.702015,0.559883,0.706441,0.505817,0.133419,0.475564,
4.6,0.575639,0.536164,0.446822,0.355857,0.507216,0.656578,
4.605,0.43044,0.674751,0.344476,0.485992,0.457524,0.731366,
4.61,0.368862,0.66424,0.251563,0.334105,0.687595,0.785516,
4.615,0.555387,0.472637,0.244834,0.447049,0.598067,0.825942,
4.62,0.391036,0.66813,0.268612,0.430239,0.578393,0.782923,
4.625,0.539879,0.524294,0.243093,0.613876,0.432158,0.839604,
4.63,0.500493,0.556875,0.253816,0.529225,0.503145,0.818278,
4.635,0.649892,0.415746,0.289619,0.575788,0.437732,0.813383,
4.64,0.508911,0.555355,0.304196,0.441868,0.545117,0.770936,
4.645,0.770099,0.203559,0.181258,0.48487,0.637511,0.909947,
4.65,0.562661,0.47732,0.315691,0.332003,0.648908,0.759406,
4.655,0.857347,0.134003,0.270671,0.402498,0.64617,0.841957,
4.66,0.299448,0.79412,0.348735,0.335358,0.59183,0.697211,
4.665,0.410492,0.708091,0.236766,0.805802,0.235166,0.843746,
4.67,0.632297,0.482577,0.414596,0.487509,0.410513,0.701788,
4.675,0.45249,0.612773,0.403955,0.161284,0.728799,0.658006,
4.68,0.623044,0.390122,0.228949,0.459461,0.606236,0.849082,
4.685,0.7332,0.427236,0.428553,0.735252,0.160267,0.725418,
4.69,0.535244,0.500356,0.244726,0.47047,0.573032,0.825319,
4.695,0.552849,0.499318,0.313997,0.388044,0.593764,0.76428,
4.7,0.577091,0.527251,0.450876,0.311074,0.548257,0.649617,
4.705,0.883588,0.149308,0.352443,0.413625,0.563183,0.779963,
4.71,0.530497,0.58682,0.423137,0.412146,0.468615,0.674582,
4.715,0.731889,0.380547,0.536015,0.237126,0.55851,0.594938,
4.72,0.942011,0.0728062,0.32595,0.431175,0.575039,0.810923,
4.725,0.479271,0.540686,0.193786,0.486798,0.598,0.860572,
4.73,0.527944,0.501979,0.249893,0.425779,0.612175,0.816285,
4.735,0.415068,0.56634,0.0308243,0.667949,0.559881,0.999955,
4.74,0.45619,0.71066,0.460267,0.507915,0.332832,0.642596,
4.745,0.40241,0.613636,0.183088,0.445221,0.642183,0.855297,
